,LAT,LON,Cuenta
13,6.1531769,-75.587602,13
538,6.1689034,-75.587695,13
1001,6.181238,-75.576751,13
181,6.1614356,-75.568489,13
764,6.1727918,-75.590711,13
882,6.1753456,-75.585125,13
23,6.1545211,-75.579126,13
26,6.1547728,-75.574886,13
824,6.1740943,-75.578818,13
201,6.1619313,-75.593584,13
789,6.1733254,-75.58667,13
397,6.166287,-75.592952,13
1015,6.1820903,-75.576703,13
960,6.178121,-75.584561,13
476,6.1677182,-75.58418,13
235,6.1630361,-75.593706,13
32,6.1555552,-75.582316,13
811,6.1738448,-75.579023,13
652,6.170972,-75.594313,12
60,6.1574768,-75.598032,12
562,6.1693238,-75.585486,12
187,6.1616036,-75.593852,12
308,6.1647887,-75.594211,12
11,6.1530559,-75.584468,12
103,6.1591208,-75.593927,12
626,6.1705042,-75.592518,12
217,6.1624051,-75.594349,12
402,6.1663246,-75.585039,12
222,6.1625383,-75.584717,12
840,6.1743728,-75.591531,12
107,6.1591769,-75.578911,11
853,6.1747305,-75.585215,11
601,6.1700952,-75.579612,11
419,6.1667006,-75.58264,11
571,6.1695216,-75.590988,11
647,6.1708915,-75.58314,11
373,6.1658962,-75.580632,11
810,6.1738071,-75.581083,11
801,6.1736043,-75.591284,11
517,6.16856,-75.598981,11
687,6.1716186,-75.585,11
403,6.1663326,-75.582037,11
474,6.1676997,-75.582707,11
593,6.169949,-75.577578,11
160,6.1608758,-75.58101,11
148,6.1605153,-75.579104,11
274,6.1640433,-75.592903,11
967,6.178806,-75.574624,11
38,6.1560242,-75.598072,11
1025,6.1827132,-75.58578,11
266,6.1639297,-75.598167,11
922,6.1766403,-75.589187,11
342,6.165325,-75.597417,10
395,6.1662543,-75.582128,10
553,6.1691872,-75.583497,10
915,6.1763178,-75.592567,10
250,6.1634772,-75.593363,10
886,6.1754214,-75.583353,10
551,6.1691247,-75.577319,10
759,6.1727296,-75.589339,10
457,6.1674046,-75.582257,10
167,6.161115,-75.58477,10
278,6.1641613,-75.59159,10
1014,6.1820858,-75.585029,10
380,6.1659943,-75.584581,10
543,6.1690028,-75.5939,10
542,6.1689935,-75.581795,10
271,6.1640106,-75.593952,10
301,6.164617,-75.593424,10
172,6.1612307,-75.595806,10
896,6.1756711,-75.579158,10
1006,6.1815231,-75.580791,10
208,6.1621167,-75.58212,10
94,6.1588535,-75.59456,10
70,6.1578385,-75.566521,10
775,6.1729489,-75.583251,10
961,6.1781874,-75.570433,10
157,6.1607958,-75.600647,10
328,6.1649925,-75.581527,10
677,6.171434,-75.58704,10
990,6.1800696,-75.5856,10
862,6.1749103,-75.591144,10
932,6.176902,-75.5884,10
398,6.1662963,-75.586498,10
1033,6.1833709,-75.578854,10
871,6.1751164,-75.582384,10
851,6.174666,-75.582228,10
621,6.1704566,-75.59483,10
1031,6.1832871,-75.57895,10
433,6.1669892,-75.600743,10
874,6.1751286,-75.583985,10
98,6.1590081,-75.585413,10
359,6.165648,-75.59125,10
905,6.1759558,-75.590461,10
630,6.1705345,-75.584181,10
203,6.1619841,-75.592196,10
743,6.172469,-75.592092,10
559,6.1693141,-75.59012,10
84,6.158392,-75.584955,9
978,6.1793877,-75.575843,9
920,6.1765345,-75.590179,9
727,6.1722267,-75.58975,9
695,6.1717074,-75.580948,9
757,6.1726881,-75.58393,9
406,6.1664013,-75.592384,9
491,6.1680763,-75.579944,9
223,6.1625744,-75.582346,9
230,6.1628797,-75.592166,9
950,6.177601,-75.589482,9
442,6.1670928,-75.588811,9
746,6.1725125,-75.577047,9
445,6.1671567,-75.588046,9
735,6.1723188,-75.585229,9
251,6.1635,-75.593449,9
82,6.1583581,-75.595261,9
796,6.1734847,-75.58169,9
62,6.1575464,-75.583386,9
1000,6.181126,-75.576751,9
628,6.1705203,-75.585754,9
683,6.1715235,-75.584132,9
839,6.1743627,-75.5844,9
869,6.1750502,-75.57789,9
635,6.17066,-75.575772,9
808,6.1737796,-75.58734,9
582,6.169657,-75.585873,9
534,6.1688011,-75.594449,9
1013,6.1818988,-75.582641,9
868,6.1750196,-75.585929,9
6,6.1507772,-75.57518,9
615,6.1703045,-75.575582,9
461,6.1674482,-75.563785,8
611,6.1702449,-75.58394,8
573,6.1695469,-75.585857,8
729,6.1722572,-75.583756,8
581,6.169654,-75.578529,8
725,6.1722163,-75.583649,8
136,6.1602576,-75.584046,8
4,6.149853,-75.57706,8
232,6.1629778,-75.580558,8
954,6.1777926,-75.578683,8
2,6.1486597,-75.57724,8
591,6.1698585,-75.580973,8
510,6.1684403,-75.586988,8
572,6.169522,-75.582154,8
78,6.1582565,-75.584394,8
508,6.168382,-75.580579,8
512,6.168462,-75.582939,8
664,6.1711788,-75.585314,8
663,6.1711714,-75.579849,8
995,6.1806735,-75.586905,8
199,6.1619106,-75.596854,8
659,6.1710976,-75.584051,8
535,6.1688157,-75.580692,8
714,6.171998,-75.5844,8
1017,6.1822418,-75.581473,8
493,6.1681203,-75.590956,8
166,6.1611007,-75.581716,8
71,6.1578785,-75.59484,8
212,6.1622962,-75.594293,8
632,6.1705491,-75.592418,8
124,6.1598813,-75.574653,8
453,6.16729,-75.586691,8
861,6.1749049,-75.584648,8
399,6.1662981,-75.588219,8
385,6.1661285,-75.569583,8
267,6.1639414,-75.588855,8
924,6.1766807,-75.581091,8
420,6.166705,-75.589141,8
766,6.1728169,-75.582347,8
914,6.1763102,-75.585487,8
903,6.1759212,-75.58342,8
798,6.1735241,-75.581799,8
389,6.1661939,-75.599773,8
897,6.1756809,-75.582575,8
101,6.159066,-75.57988,8
303,6.1646344,-75.590462,8
930,6.1768972,-75.586281,8
44,6.1565089,-75.589876,8
377,6.1659691,-75.5878,8
372,6.1658957,-75.581563,8
876,6.1751528,-75.590256,8
358,6.1656476,-75.584029,8
832,6.1741613,-75.582037,8
835,6.1741891,-75.578884,8
836,6.1743066,-75.59026,8
844,6.174485,-75.578695,8
866,6.1749862,-75.572284,8
430,6.1669589,-75.587854,8
594,6.1699609,-75.580957,8
939,6.1771254,-75.586085,8
1027,6.1828105,-75.583034,7
986,6.1798196,-75.577141,7
829,6.1741471,-75.583711,7
466,6.167581,-75.582688,7
65,6.1576359,-75.58327,7
317,6.1648674,-75.582946,7
823,6.174064,-75.58796,7
314,6.1648351,-75.587744,7
519,6.1685633,-75.594058,7
787,6.1732406,-75.569098,7
947,6.1774911,-75.585774,7
884,6.1753727,-75.583245,7
441,6.1670615,-75.590806,7
908,6.176123,-75.581019,7
728,6.172231,-75.581268,7
548,6.16904,-75.586268,7
73,6.1579106,-75.58155,7
649,6.1709324,-75.58324,7
239,6.1631598,-75.581895,7
460,6.1674342,-75.562958,7
226,6.1627495,-75.585824,7
219,6.16246,-75.58236,7
330,6.165089,-75.590094,7
354,6.1656,-75.585497,7
703,6.1718479,-75.580619,7
436,6.1670153,-75.58462,7
345,6.1654667,-75.581111,7
