,Fecha,Hora,DOW,Coordenadas,Ciudad,Heridos,Cuenta heridos,Muertos,Cuenta muertos,Clase accidente,Barrio,Tipo vehiculo
2288,2020-12-21,17,1,"3.52834,-76.3014",Palmira,0,,0,,Choque,CENTRO,AUTOMOVIL
2289,2020-12-21,17,1,"3.52834,-76.3014",Palmira,0,,0,,Choque,CENTRO,AUTOMOVIL
2290,2020-12-21,21,1,"3.53705,-76.29637",Palmira,1,,0,,Choque,VERSALLE S,MOTO
2291,2020-12-21,21,1,"3.53705,-76.29637",Palmira,1,,0,,Choque,VERSALLE S,MOTO
2292,2020-12-21,21,1,"3.53705,-76.29637",Palmira,1,,0,,Choque,VERSALLE S,NO APLICA
2293,2020-12-21,16,1,"3.52794,-76.29193",Palmira,1,,0,,Choque,URIBE,MOTO
2294,2020-12-21,16,1,"3.52794,-76.29193",Palmira,1,,0,,Choque,URIBE,AUTOMOVIL
2295,2020-12-22,16,2,"3.5442,-76.3076",Palmira,1,,0,,Choque,SANTA TERESITA,MOTO
2296,2020-12-22,16,2,"3.5442,-76.3076",Palmira,1,,0,,Choque,SANTA TERESITA,AUTOMOVIL
2297,2020-12-22,16,2,"3.5442,-76.3076",Palmira,1,,0,,Choque,SANTA TERESITA,NO APLICA
2298,2020-12-22,21,2,"3.54822,-76.29523",Palmira,0,,0,,Choque,MERCEDES,MOTO
2299,2020-12-22,21,2,"3.54822,-76.29523",Palmira,0,,0,,Choque,MERCEDES,CAMPERO
2300,2020-12-22,23,2,"3.53489,-76.38964",Palmira,0,,1,,Choque,VIA ZON FRANCA PALMASECA,MOTO
2301,2020-12-20,12,7,"3.52743,-76.2946",Palmira,1,,0,,Choque,CENTRO,MOTO
2302,2020-12-20,12,7,"3.52743,-76.2946",Palmira,1,,0,,Choque,CENTRO,AUTOMOVIL
2303,2020-12-23,12,3,"3.52689,-76.29896",Palmira,0,,0,,Choque,CENTRO,AUTOMOVIL
2304,2020-12-23,12,3,"3.52689,-76.29896",Palmira,0,,0,,Choque,CENTRO,MOTO
2305,2020-12-24,19,4,"3.52611,-76.2922",Palmira,0,,0,,Choque,URIBE,CAMPERO
2306,2020-12-24,19,4,"3.52611,-76.2922",Palmira,0,,0,,Choque,URIBE,AUTOMOVIL
2307,2020-12-24,17,4,"3.5328,-76.30801",Palmira,0,,0,,Choque,EMILIA,AUTOMOVIL
