,LAT,LON,Cuenta
852,3.54043,-76.29953,2
853,3.54047,-76.28053,2
928,3.54613,-76.26432,2
856,3.54086,-76.29091,2
939,3.54738,-76.29436,2
940,3.54743,-76.29768,2
835,3.53928,-76.29714,2
834,3.53924,-76.31482,2
814,3.53892,-76.3115,2
815,3.53895,-76.30628,2
816,3.53896,-76.31039,2
817,3.53896,-76.30654,2
818,3.53896,-76.3065,2
820,3.53898,-76.30742,2
821,3.53898,-76.30674,2
822,3.53898,-76.30649,2
944,3.54772,-76.28967,2
943,3.5477,-76.28962,2
823,3.53899,-76.30662,2
824,3.539,-76.30667,2
825,3.53901,-76.30984,2
826,3.53902,-76.30685,2
827,3.53902,-76.29784,2
828,3.53904,-76.29561,2
830,3.53911,-76.28755,2
941,3.54768,-76.29527,2
832,3.53919,-76.2908,2
857,3.54093,-76.29093,2
859,3.54096,-76.3108,2
724,3.53784,-76.29734,2
892,3.54228,-76.30009,2
881,3.54216,-76.29817,2
882,3.54218,-76.31313,2
915,3.54419,-76.30761,2
884,3.5422,-76.29663,2
885,3.5422,-76.29657,2
914,3.54375,-76.30277,2
886,3.5422,-76.29538,2
887,3.54222,-76.29686,2
890,3.54226,-76.31144,2
893,3.54228,-76.29829,2
927,3.54607,-76.26444,2
912,3.54368,-76.31345,2
896,3.54245,-76.29331,2
897,3.54249,-76.30287,2
898,3.54254,-76.30741,2
911,3.54365,-76.27109,2
908,3.54272,-76.31492,2
902,3.54259,-76.3074,2
904,3.54261,-76.29102,2
905,3.54267,-76.29163,2
880,3.54213,-76.29702,2
879,3.54212,-76.2971,2
878,3.54209,-76.29559,2
877,3.54204,-76.29561,2
860,3.54102,-76.29381,2
926,3.54605,-76.29602,2
923,3.54557,-76.31149,2
862,3.5411,-76.29517,2
863,3.54111,-76.31019,2
864,3.54118,-76.29604,2
865,3.54123,-76.29086,2
866,3.54124,-76.29672,2
922,3.54478,-76.38458,2
867,3.54136,-76.29833,2
868,3.54149,-76.3007,2
921,3.54471,-76.30821,2
920,3.54459,-76.26698,2
870,3.54154,-76.31567,2
919,3.54456,-76.26779,2
871,3.54163,-76.31165,2
872,3.54166,-76.29663,2
873,3.54171,-76.29661,2
876,3.54187,-76.29659,2
945,3.54774,-76.28965,2
812,3.53889,-76.3081,2
811,3.53889,-76.31393,2
754,3.5382,-76.29982,2
747,3.53815,-76.29875,2
965,3.5493,-76.31769,2
749,3.53817,-76.29731,2
750,3.53817,-76.2973,2
751,3.53819,-76.30008,2
964,3.54912,-76.3049,2
963,3.54904,-76.3101,2
962,3.54884,-76.29216,2
753,3.53819,-76.29713,2
755,3.5382,-76.29729,2
810,3.53888,-76.29708,2
756,3.5382,-76.29728,2
758,3.53824,-76.29955,2
759,3.5383,-76.3064,2
760,3.5383,-76.3008,2
761,3.53835,-76.30111,2
762,3.53836,-76.30014,2
763,3.53839,-76.30125,2
764,3.53839,-76.30088,2
765,3.5384,-76.30089,2
746,3.53812,-76.29703,2
745,3.53812,-76.29846,2
966,3.5493,-76.29063,2
744,3.53811,-76.2983,2
725,3.53784,-76.2972,2
727,3.53788,-76.30986,2
973,3.55073,-76.29418,2
728,3.53789,-76.2962,2
729,3.5379,-76.31912,2
730,3.53792,-76.29785,2
970,3.55013,-76.31147,2
731,3.53793,-76.2975,2
732,3.53797,-76.29832,2
906,3.5427,-76.30741,2
969,3.5497,-76.30943,2
735,3.53801,-76.2978,2
737,3.53802,-76.29786,2
738,3.53802,-76.29747,2
968,3.54956,-76.29451,2
740,3.53807,-76.29899,2
741,3.53807,-76.29883,2
742,3.53807,-76.29792,2
967,3.54935,-76.29138,2
767,3.53843,-76.30177,2
959,3.54822,-76.29523,2
769,3.5385,-76.30224,2
790,3.53874,-76.30642,2
792,3.53875,-76.30685,2
793,3.53875,-76.30664,2
794,3.53875,-76.30632,2
795,3.53875,-76.30407,2
796,3.53876,-76.31543,2
