,LAT,LON,Cuenta
3477,6.2160454016,-75.580330215,140
1825,6.20300247941,-75.5703525997,140
13158,6.25341454089,-75.5624178534,140
5431,6.22900745393,-75.5714072876,139
26781,6.31071399392,-75.5577208636,138
26459,6.30787962874,-75.5640990565,138
12920,6.25251895722,-75.5611150345,138
6014,6.23124867284,-75.5752848764,137
3397,6.21508707917,-75.5774146688,137
18840,6.27588800857,-75.5726952566,137
13264,6.25385219789,-75.5766006957,136
10037,6.24434555793,-75.5698854067,136
9525,6.24253872056,-75.6001580292,136
16837,6.26690848556,-75.5722691119,136
2334,6.20758143646,-75.576675228,135
8142,6.23814798176,-75.5725073912,135
16516,6.26534417189,-75.5742390745,134
4478,6.22415310998,-75.5772053296,134
11459,6.248522406,-75.5832660993,134
5352,6.22870030622,-75.5693883283,134
9890,6.2438672705,-75.5685145902,133
4447,6.22405564076,-75.5993580611,132
14737,6.25845460122,-75.5861350383,132
15945,6.26303021803,-75.5733203488,131
8305,6.23868925841,-75.573817758,131
11618,6.24898891194,-75.5868067251,131
6781,6.23363092354,-75.5963100536,130
3622,6.21807346345,-75.5646604864,130
1843,6.20320473784,-75.5851474936,130
13367,6.25415616897,-75.610821242,129
12361,6.25071834604,-75.6025041526,129
10495,6.24577731639,-75.5737136668,128
8684,6.2397866157,-75.589313202,128
1226,6.1969584292,-75.5727519973,128
18291,6.27398165897,-75.573135644,127
8594,6.23953658835,-75.5806892518,127
3571,6.21725172115,-75.575749172,127
1797,6.20272021618,-75.5876234928,126
14090,6.25656503317,-75.5821759947,126
12952,6.2526210388,-75.5786801348,126
3118,6.21321962288,-75.5783913389,125
16932,6.26743622381,-75.5767629299,125
2795,6.21095380133,-75.5950456588,125
16223,6.26412703653,-75.563347148,124
5103,6.22759429987,-75.5747535773,124
8471,6.23920735378,-75.5751407981,123
11591,6.24894159961,-75.563584199,123
3166,6.21357558167,-75.576549829,123
3163,6.21356589312,-75.5776394331,123
18855,6.27593369262,-75.5788759407,123
14442,6.2575567099,-75.5701566485,123
11881,6.24960111841,-75.5923224714,123
8858,6.24024570689,-75.578768538,122
6032,6.23130632664,-75.6022302243,121
15457,6.26110802309,-75.5847655678,121
14096,6.25657541199,-75.58085586,121
2304,6.20737050383,-75.58572677,121
