,LAT,LON,Cuenta
943,11.0124658,-74.793412,8
518,10.9740252,-74.7791338,8
924,11.0089692,-74.8221201,8
414,10.9631289,-74.8111379,8
360,10.958961,-74.8410775,8
548,10.9768647,-74.8322069,8
362,10.9590292,-74.8268013,8
258,10.9515056,-74.7906172,8
366,10.9593768,-74.8394368,7
619,10.9824944,-74.8186367,7
611,10.98175,-74.771147,7
391,10.9616729,-74.8390736,7
487,10.9695896,-74.7658065,7
635,10.9835834,-74.7727302,7
380,10.960482,-74.8404823,7
249,10.9509148,-74.8342695,7
872,11.0032472,-74.7956907,7
717,10.9899464,-74.8226248,7
1013,11.0241881,-74.8700416,7
220,10.9479947,-74.8152222,7
948,11.0131525,-74.8114981,7
132,10.9396885,-74.7805398,7
183,10.9449758,-74.8035241,7
658,10.9854056,-74.8026749,7
336,10.95786,-74.8603164,7
9,10.9218255,-74.801574,7
751,10.9928188,-74.7832213,7
341,10.95817,-74.8110239,7
52,10.9301098,-74.8241078,7
807,10.9971729,-74.8067848,7
106,10.9363077,-74.8113555,6
785,10.995465,-74.7912895,6
101,10.9358671,-74.8044144,6
127,10.9391355,-74.7896253,6
747,10.9926568,-74.8104053,6
417,10.9635187,-74.839588,6
446,10.9658005,-74.7740177,6
833,10.9997889,-74.8067981,6
185,10.9450541,-74.7798688,6
587,10.980157,-74.8188386,6
177,10.9444396,-74.7951866,6
581,10.979302,-74.8264231,6
171,10.9442001,-74.8203735,6
896,11.0054552,-74.7933666,6
886,11.0049516,-74.7891383,6
560,10.9780142,-74.8339299,6
96,10.9352625,-74.7805962,6
593,10.980815,-74.8264016,6
546,10.9767147,-74.8483894,6
72,10.9326514,-74.8005847,6
356,10.9587402,-74.7980614,6
502,10.971752,-74.771311,6
55,10.9302335,-74.8251417,6
320,10.9567395,-74.8061033,6
57,10.9304093,-74.7984434,6
1046,11.0391611,-74.8277248,6
368,10.9594298,-74.8008705,6
292,10.9548303,-74.7694839,6
614,10.9818622,-74.7711624,6
726,10.9909402,-74.8470926,6
953,11.0145105,-74.8366173,6
559,10.9778816,-74.8412383,5
759,10.9934867,-74.7837853,5
309,10.9557241,-74.849829,5
184,10.9450347,-74.7698744,5
422,10.9639515,-74.7800041,5
322,10.9568085,-74.8489542,5
622,10.9825904,-74.8034372,5
147,10.9416806,-74.7766107,5
662,10.9857545,-74.81577294736911,5
746,10.9926268,-74.7814612,5
275,10.9527705,-74.8184506,5
1006,11.0229211,-74.8064548,5
894,11.005276550000001,-74.80989190069813,5
166,10.9434414,-74.8353734,5
641,10.9841614,-74.7837506,5
846,11.0009179,-74.8065412,5
1011,11.02355,-74.8040543,5
256,10.95137,-74.7991614,5
65,10.9317439,-74.8278161,5
254,10.9512613,-74.7702489,5
766,10.9940392,-74.7947904,5
768,10.9943259,-74.8194307,5
232,10.9493693,-74.797672,5
1033,11.0320547,-74.8095839,5
117,10.9376171,-74.7956875,5
298,10.9552285,-74.8036749,5
222,10.948205,-74.8147421,5
787,10.9956255,-74.7929089,5
529,10.9755696,-74.77497267138386,5
551,10.9771415,-74.8159665,5
81,10.9337891,-74.8016103,4
126,10.9387265,-74.7989303,4
136,10.9402468,-74.7776869,4
980,11.0195455,-74.8088669,4
927,11.0093876,-74.8251308,4
112,10.9370886,-74.7915484,4
468,10.9680443,-74.7862196,4
107,10.9364481,-74.8161932,4
944,11.0124838,-74.8094747,4
471,10.9681203,-74.8272908,4
565,10.9782685,-74.8200985,4
978,11.019151650000001,-74.85078992064118,4
534,10.9758927,-74.7996077,4
736,10.9915922,-74.7809107,4
