,Ciudad,Year,Month,Accidentes,Habitantes,AccidentesNormalizado
225,Bucaramanga,2018,12,343,608947,563.267410792729
226,Envigado,2018,12,494,241863,2042.4785932532052
227,Medellin,2018,12,3651,2570327,1420.4418348326885
228,Barranquilla,2019,1,481,1311856,366.6560964008245
229,Bucaramanga,2019,1,293,608947,481.1584587821272
230,Envigado,2019,1,550,241863,2274.014628115917
231,Medellin,2019,1,3540,2570327,1377.2566681204376
232,Barranquilla,2019,2,466,1311856,355.22191460038295
233,Bucaramanga,2019,2,301,608947,494.2958911038235
234,Envigado,2019,2,574,241863,2373.2443573427936
235,Medellin,2019,2,3597,2570327,1399.4328348105125
236,Barranquilla,2019,3,462,1311856,352.1727994535986
237,Bucaramanga,2019,3,316,608947,518.928576707004
238,Envigado,2019,3,476,241863,1968.056296333048
239,Medellin,2019,3,3488,2570327,1357.025779210194
240,Barranquilla,2019,4,464,1311856,353.69735702699074
241,Bucaramanga,2019,4,266,608947,436.8196246964022
242,Envigado,2019,4,585,241863,2418.7246499051116
243,Medellin,2019,4,3336,2570327,1297.8893347033274
244,Barranquilla,2019,5,485,1311856,369.7052115476089
245,Bucaramanga,2019,5,321,608947,527.1394719080643
246,Envigado,2019,5,607,241863,2509.685235029748
247,Medellin,2019,5,3880,2570327,1509.5355571489542
248,Barranquilla,2019,6,439,1311856,334.64038735958826
249,Bucaramanga,2019,6,306,608947,502.50678630488375
250,Envigado,2019,6,587,241863,2426.9937940073514
251,Medellin,2019,6,3669,2570327,1427.4448348400806
252,Barranquilla,2019,7,449,1311856,342.26317522654927
253,Bucaramanga,2019,7,337,608947,553.4143365514568
254,Envigado,2019,7,601,241863,2484.877802723029
255,Medellin,2019,7,3894,2570327,1514.9823349324813
256,Barranquilla,2019,8,497,1311856,378.8525569879621
257,Bucaramanga,2019,8,329,608947,540.2769042297605
258,Envigado,2019,8,621,241863,2567.5692437454263
259,Medellin,2019,8,4196,2570327,1632.4771128342813
260,Barranquilla,2019,9,498,1311856,379.6148357746582
261,Bucaramanga,2019,9,339,608947,556.698694631881
262,Envigado,2019,9,549,241863,2269.880056064797
263,Medellin,2019,9,4157,2570327,1617.3039461515984
264,Barranquilla,2019,10,479,1311856,365.1315388274323
265,Bucaramanga,2019,10,301,608947,494.2958911038235
266,Envigado,2019,10,579,241863,2393.9172175983927
267,Medellin,2019,10,4150,2570327,1614.5805572598351
268,Barranquilla,2019,11,461,1311856,351.41052066690247
269,Bucaramanga,2019,11,301,608947,494.2958911038235
270,Envigado,2019,11,570,241863,2356.7060691383135
271,Medellin,2019,11,3803,2570327,1479.578279339555
272,Barranquilla,2019,12,464,1311856,353.69735702699074
273,Bucaramanga,2019,12,314,608947,515.6442186265799
274,Envigado,2019,12,617,241863,2551.0309555409467
275,Medellin,2019,12,4085,2570327,1589.2919461220304
276,Barranquilla,2020,1,410,1311856,312.5343025454013
277,Bucaramanga,2020,1,253,608947,415.47129717364567
278,Envigado,2020,1,463,241863,1914.30685966849
279,Medellin,2020,1,3200,2570327,1244.9777790919209
280,Palmira,2020,1,270,284508,949.006706314058
281,Barranquilla,2020,2,465,1311856,354.4596358136869
282,Bucaramanga,2020,2,222,608947,364.5637469270725
283,Envigado,2020,2,448,241863,1852.2882789016921
284,Medellin,2020,2,3023,2570327,1176.114945685899
285,Palmira,2020,2,272,284508,956.036385620088
286,Barranquilla,2020,3,305,1311856,232.49502994231074
287,Bucaramanga,2020,3,136,608947,223.3363494688372
288,Envigado,2020,3,286,241863,1182.487606620277
289,Medellin,2020,3,1844,2570327,717.4184452017195
290,Palmira,2020,3,194,284508,681.8788926849157
291,Barranquilla,2020,4,112,1311856,85.37522410996328
292,Bucaramanga,2020,4,119,608947,195.41930578523252
293,Envigado,2020,4,217,241863,897.2021350930072
294,Medellin,2020,4,1310,2570327,509.6627783157552
295,Palmira,2020,4,73,284508,256.58329467009713
296,Barranquilla,2020,5,150,1311856,114.34181800441512
297,Bucaramanga,2020,5,154,608947,252.89557219265387
298,Envigado,2020,5,291,241863,1203.160466875876
299,Medellin,2020,5,1790,2570327,696.4094451795434
300,Palmira,2020,5,119,284508,418.2659187087885
301,Barranquilla,2020,6,158,1311856,120.44004829798394
302,Bucaramanga,2020,6,127,608947,208.55673810692883
303,Envigado,2020,6,362,241863,1496.7150825053855
304,Medellin,2020,6,2003,2570327,779.2782786003493
305,Palmira,2020,6,170,284508,597.522741012555
306,Barranquilla,2020,7,167,1311856,127.30055737824884
307,Bucaramanga,2020,7,184,608947,302.160943399015
308,Envigado,2020,7,293,241863,1211.4296109781158
309,Medellin,2020,7,1780,2570327,692.5188896198811
310,Palmira,2020,7,168,284508,590.4930617065249
311,Barranquilla,2020,8,194,1311856,147.88208461904355
312,Bucaramanga,2020,8,169,608947,277.52825779583446
313,Envigado,2020,8,359,241863,1484.3113663520257
314,Medellin,2020,8,2091,2570327,813.5151675253771
315,Palmira,2020,8,190,284508,667.8195340728555
316,Barranquilla,2020,9,273,1311856,208.1021087680355
317,Bucaramanga,2020,9,193,608947,316.94055476092336
318,Envigado,2020,9,371,241863,1533.926230965464
319,Medellin,2020,9,614,2570327,238.88011136326236
320,Palmira,2020,9,209,284508,734.6014874801411
321,Barranquilla,2020,10,354,1311856,269.8466904904197
322,Bucaramanga,2020,10,153,608947,251.25339315244187
323,Envigado,2020,10,442,241863,1827.4808465949732
324,Medellin,2020,10,732,2570327,284.7886669672769
325,Palmira,2020,10,218,284508,766.2350443572764
326,Barranquilla,2020,11,287,1311856,218.77401178178093
327,Bucaramanga,2020,11,113,608947,185.56623154396033
328,Envigado,2020,11,406,241863,1678.6362527546587
329,Medellin,2020,11,693,2570327,269.61550028459413
330,Palmira,2020,11,237,284508,833.016997764562
331,Barranquilla,2020,12,406,1311856,309.4851873986169
332,Bucaramanga,2020,12,195,608947,320.2249128413475
333,Envigado,2020,12,428,241863,1769.5968378792952
334,Medellin,2020,12,637,2570327,247.8283891504855
335,Palmira,2020,12,260,284508,913.8583097839077
336,Barranquilla,2021,1,346,1311856,263.74846019685083
337,Bucaramanga,2021,1,218,608947,357.9950307662243
338,Envigado,2021,1,309,241863,1277.5827637960333
339,Barranquilla,2021,2,339,1311856,258.41250868997815
340,Bucaramanga,2021,2,176,608947,289.02351107731874
341,Envigado,2021,2,295,241863,1219.6987550803553
342,Barranquilla,2021,3,382,1311856,291.1904965179105
343,Bucaramanga,2021,3,245,608947,402.33386485194933
344,Envigado,2021,3,354,241863,1463.6385060964265
345,Barranquilla,2021,4,270,1311856,205.81527240794722
346,Bucaramanga,2021,4,211,608947,346.49977748474004
347,Envigado,2021,4,295,241863,1219.6987550803553
348,Barranquilla,2021,5,315,1311856,240.11781780927174
349,Bucaramanga,2021,5,223,608947,366.2059259672845
350,Envigado,2021,5,380,241863,1571.1373794255426
351,Barranquilla,2021,6,371,1311856,282.8054298642534
352,Bucaramanga,2021,6,226,608947,371.13246308792066
353,Envigado,2021,6,351,241863,1451.234789943067
354,Barranquilla,2021,7,413,1311856,314.8211389054896
355,Bucaramanga,2021,7,195,608947,320.2249128413475
356,Envigado,2021,7,61,241863,252.20889511831078
357,Barranquilla,2021,8,458,1311856,349.1236843068142
358,Bucaramanga,2021,8,241,608947,395.76514869110116
359,Envigado,2021,8,66,241863,272.88175537391
360,Barranquilla,2021,9,404,1311856,307.9606298252247
361,Bucaramanga,2021,9,209,608947,343.215419404316
362,Envigado,2021,9,54,241863,223.26689076047182
363,Barranquilla,2021,10,431,1311856,328.54215706601946
364,Bucaramanga,2021,10,254,608947,417.11347621385767
365,Envigado,2021,10,88,241863,363.8423404985467
366,Barranquilla,2021,11,458,1311856,349.1236843068142
367,Bucaramanga,2021,11,236,608947,387.554253490041
368,Envigado,2021,11,78,241863,322.4966199873482
369,Barranquilla,2021,12,513,1311856,391.0490175750997
370,Bucaramanga,2021,12,251,608947,412.18693909322155
371,Envigado,2021,12,51,241863,210.86317460711228
372,Barranquilla,2022,1,394,1311856,300.3378419582637
373,Bucaramanga,2022,1,175,608947,287.3813320371067
374,Barranquilla,2022,2,458,1311856,349.1236843068142
375,Bucaramanga,2022,2,155,608947,254.5377512328659
376,Barranquilla,2022,3,488,1311856,371.9920479076972
377,Bucaramanga,2022,3,183,608947,300.51876435880297
378,Barranquilla,2022,4,374,1311856,285.0922662243417
379,Bucaramanga,2022,4,109,608947,178.99751538311216
380,Bucaramanga,2022,5,30,608947,49.265371206361145
381,Bucaramanga,2022,6,24,608947,39.41229696508891
382,Bucaramanga,2022,7,20,608947,32.843580804240766
383,Bucaramanga,2022,8,33,608947,54.19190832699726
384,Bucaramanga,2022,9,28,608947,45.98101312593707
385,Bucaramanga,2022,10,30,608947,49.265371206361145
386,Bucaramanga,2022,11,29,608947,47.6231921661491
387,Bucaramanga,2022,12,26,608947,42.696655045513
