,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Clase accidente,Hora,Clima
11864,2019-11-30 05:00:00,6,Córdoba,1,1.0,0,0.0,Choque,13.0,Normal
11865,2019-11-11 05:00:00,1,Córdoba,0,0.0,1,4.0,Choque,3.0,Normal
11866,2019-11-02 05:00:00,6,Córdoba,1,2.0,0,0.0,Choque,15.0,Normal
11867,2019-11-16 05:00:00,6,Córdoba,0,0.0,0,0.0,Choque,20.0,Normal
11868,2019-11-30 05:00:00,6,Córdoba,0,0.0,1,1.0,Choque,21.0,Normal
11869,2019-11-07 05:00:00,4,Córdoba,0,0.0,0,0.0,Atropello,16.0,Normal
11870,2019-11-26 05:00:00,2,Córdoba,0,0.0,0,0.0,Salida de la vía sin volcarse,10.0,Normal
11871,2019-12-18 05:00:00,3,Caquetá,0,0.0,1,1.0,Choque,19.0,Seca
11872,2019-11-02 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,12.0,Lluvia
11873,2019-11-02 05:00:00,6,Boyacá,1,1.0,0,0.0,Choque,11.0,Normal
11874,2019-11-09 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,12.0,Lluvia
11875,2019-11-10 05:00:00,7,Boyacá,0,0.0,0,0.0,Choque,5.0,Seca
11876,2019-11-10 05:00:00,7,Boyacá,1,4.0,0,0.0,Atropello,1.0,Seca
11877,2019-11-29 05:00:00,5,Boyacá,0,0.0,0,0.0,Choque,13.0,Seca
11878,2019-11-29 05:00:00,5,Boyacá,0,0.0,0,0.0,Choque,17.0,Seca
11879,2019-11-30 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,15.0,Seca
11880,2019-12-24 05:00:00,2,Atlántico,0,0.0,0,0.0,Choque,5.0,Seca
11881,2019-11-01 05:00:00,5,Cesar,1,2.0,0,0.0,Choque,8.0,Normal
11882,2019-11-01 05:00:00,5,Cesar,0,0.0,0,0.0,Choque,14.0,Normal
11883,2019-11-08 05:00:00,5,Cesar,1,1.0,0,0.0,Choque,14.0,Normal
11884,2019-11-10 05:00:00,7,Cesar,1,2.0,1,1.0,Choque,5.0,Normal
11885,2019-11-10 05:00:00,7,Cesar,1,1.0,1,1.0,Choque,18.0,Lluvia
11886,2019-11-15 05:00:00,5,Cesar,0,0.0,0,0.0,Choque,7.0,Normal
11887,2019-11-16 05:00:00,6,Cesar,0,0.0,0,0.0,Choque,4.0,Normal
11888,2019-11-16 05:00:00,6,Cesar,0,0.0,1,1.0,Choque,18.0,Normal
11889,2019-11-18 05:00:00,1,Cesar,0,0.0,0,0.0,Choque,10.0,Normal
11890,2019-11-21 05:00:00,4,Cesar,0,0.0,0,0.0,Choque,2.0,Normal
11891,2019-11-22 05:00:00,5,Cesar,0,0.0,0,0.0,Choque,20.0,Normal
11892,2019-11-24 05:00:00,7,Cesar,0,0.0,0,0.0,Choque,22.0,Normal
11893,2019-11-15 05:00:00,5,Norte de Santander,0,0.0,0,0.0,Choque,0.0,Normal
11894,2019-11-29 05:00:00,5,Norte de Santander,0,0.0,0,0.0,Choque,19.0,Normal
11895,2019-11-06 05:00:00,3,Norte de Santander,0,0.0,0,0.0,Choque,8.0,Sol
11896,2019-12-25 05:00:00,3,Caquetá,1,2.0,0,0.0,Salida de la vía sin volcarse,12.0,Sol
11897,2019-11-03 05:00:00,7,Nariño,0,0.0,0,0.0,Choque,18.0,Lluvia
11898,2019-11-07 05:00:00,4,Nariño,0,0.0,0,0.0,Choque,16.0,Normal
11899,2019-11-12 05:00:00,2,Nariño,0,0.0,1,1.0,Choque,15.0,Normal
11900,2019-11-19 05:00:00,2,Nariño,0,0.0,0,0.0,Choque,8.0,Normal
11901,2019-11-01 05:00:00,5,Nariño,0,0.0,1,1.0,Volcamiento,13.0,Normal
11902,2019-11-13 05:00:00,3,Nariño,0,0.0,1,1.0,Atropello,11.0,Lluvia
11903,2019-11-25 05:00:00,1,Nariño,0,0.0,1,1.0,Choque,12.0,Normal
11904,2019-12-29 05:00:00,7,Caquetá,0,0.0,1,1.0,Choque,6.0,Sol
11905,2019-10-02 05:00:00,3,Quindío,0,0.0,0,0.0,Choque,16.0,Seca
11906,2020-01-01 05:00:00,3,Cauca,1,1.0,0,0.0,Volcamiento,3.0,Lluvia
11907,2019-10-02 05:00:00,3,Quindío,0,0.0,0,0.0,Volcamiento,6.0,Seca
11908,2019-10-03 05:00:00,4,Quindío,0,0.0,0,0.0,Choque,14.0,Seca
11909,2019-10-22 05:00:00,2,Quindío,0,0.0,0,0.0,Choque,16.0,Seca
11910,2019-10-03 05:00:00,4,Quindío,0,0.0,0,0.0,Choque,7.0,Seca
11911,2019-11-09 05:00:00,6,Putumayo,1,2.0,0,0.0,Volcamiento,3.0,Lluvia
11912,2019-11-21 05:00:00,4,Putumayo,1,2.0,0,0.0,Choque,14.0,Seca
11913,2019-10-04 05:00:00,5,Quindío,0,0.0,0,0.0,Choque,15.0,Normal
11914,2019-10-05 05:00:00,6,Quindío,0,0.0,0,0.0,Choque,20.0,Normal
11915,2019-10-08 05:00:00,2,Quindío,0,0.0,0,0.0,Choque,18.0,Lluvia
11916,2019-10-12 05:00:00,6,Quindío,1,2.0,0,0.0,Choque,17.0,Normal
11917,2019-10-14 05:00:00,1,Quindío,0,0.0,0,0.0,Choque,6.0,Normal
11918,2019-10-16 05:00:00,3,Quindío,0,0.0,0,0.0,Choque,21.0,Normal
11919,2019-07-19 05:00:00,5,Boyacá,0,0.0,0,0.0,Choque,16.0,Seca
11920,2020-08-23 05:00:00,7,Boyacá,1,1.0,0,0.0,Choque,13.0,Sol
11921,2020-09-20 05:00:00,7,Boyacá,0,0.0,0,0.0,Choque,15.0,Normal
11922,2020-10-19 05:00:00,1,Boyacá,1,1.0,0,0.0,Choque,21.0,Seca
11923,2020-11-08 05:00:00,7,Boyacá,1,1.0,0,0.0,Choque,22.0,Seca
11924,2020-11-14 05:00:00,6,Boyacá,1,1.0,0,0.0,Choque,9.0,Normal
11925,2020-11-16 05:00:00,1,Boyacá,0,0.0,0,0.0,Choque,8.0,Seca
11926,2019-10-17 05:00:00,4,Planta Central,1,1.0,0,0.0,Atropello,15.0,Seca
11927,2019-10-26 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,17.0,Normal
11928,2019-10-26 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,14.0,Normal
11929,2019-10-27 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,16.0,Lluvia
11930,2019-10-30 05:00:00,3,Planta Central,0,0.0,0,0.0,Choque,23.0,Normal
11931,2019-10-31 05:00:00,4,Planta Central,0,0.0,0,0.0,Choque,17.0,Normal
11932,2019-11-01 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,8.0,Normal
11933,2019-11-01 05:00:00,5,Planta Central,1,2.0,0,0.0,Choque,20.0,Normal
11934,2019-11-01 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,10.0,Lluvia
11935,2019-11-03 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,20.0,Normal
11936,2019-11-06 05:00:00,3,Planta Central,0,0.0,0,0.0,Choque,0.0,Normal
11937,2019-11-09 05:00:00,6,Planta Central,0,0.0,1,1.0,Choque,15.0,Lluvia
11938,2019-11-09 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,15.0,Lluvia
11939,2019-11-11 05:00:00,1,Planta Central,0,0.0,0,0.0,Choque,0.0,Normal
11940,2019-11-12 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,2.0,Lluvia
11941,2019-11-17 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,1.0,Normal
11942,2019-11-17 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,20.0,Lluvia
11943,2019-11-19 05:00:00,2,Planta Central,0,0.0,0,0.0,Volcamiento,1.0,Lluvia
11944,2019-11-21 05:00:00,4,Planta Central,0,0.0,0,0.0,Volcamiento,4.0,Lluvia
11945,2019-11-22 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,16.0,Normal
11946,2019-11-24 05:00:00,7,Planta Central,1,5.0,0,0.0,Volcamiento,23.0,Normal
11947,2019-11-25 05:00:00,1,Planta Central,0,0.0,0,0.0,Volcamiento,13.0,Normal
11948,2019-11-29 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,14.0,Normal
11949,2019-11-02 05:00:00,6,Santander,0,0.0,0,0.0,Choque,5.0,Normal
11950,2019-11-02 05:00:00,6,Santander,1,2.0,0,0.0,Choque,14.0,Normal
11951,2019-12-04 05:00:00,3,Planta Central,0,0.0,0,0.0,Choque,6.0,Normal
11952,2019-12-06 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,23.0,Lluvia
11953,2019-12-07 05:00:00,6,Planta Central,1,1.0,0,0.0,Volcamiento,12.0,Seca
11954,2019-12-08 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,16.0,Normal
11955,2019-12-09 05:00:00,1,Planta Central,1,1.0,0,0.0,Volcamiento,7.0,Seca
11956,2019-12-14 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,4.0,Normal
11957,2019-12-14 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,23.0,Normal
11958,2019-12-15 05:00:00,7,Planta Central,0,0.0,1,1.0,Choque,3.0,Lluvia
11959,2019-12-15 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,11.0,Normal
11960,2019-12-17 05:00:00,2,Planta Central,1,2.0,0,0.0,Volcamiento,11.0,Normal
11961,2019-12-21 05:00:00,6,Planta Central,1,1.0,0,0.0,Choque,5.0,Normal
11962,2019-12-17 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,15.0,Normal
11963,2019-12-17 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,20.0,Normal
11964,2019-12-22 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,2.0,Normal
11965,2019-12-22 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,15.0,Normal
11966,2019-12-24 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,15.0,Normal
11967,2019-12-24 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,15.0,Normal
11968,2019-12-26 05:00:00,4,Planta Central,1,1.0,1,1.0,Choque,14.0,Normal
11969,2019-12-26 05:00:00,4,Planta Central,0,0.0,0,0.0,Choque,17.0,Normal
11970,2019-12-26 05:00:00,4,Planta Central,0,0.0,0,0.0,Volcamiento,20.0,Normal
11971,2019-12-26 05:00:00,4,Planta Central,0,0.0,0,0.0,Choque,20.0,Normal
11972,2019-12-27 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,12.0,Normal
11973,2019-12-30 05:00:00,1,Planta Central,0,0.0,0,0.0,Choque,3.0,Lluvia
11974,2019-12-31 05:00:00,2,Planta Central,1,2.0,0,0.0,Choque,4.0,Lluvia
11975,2019-01-13 05:00:00,7,Planta Central,1,5.0,0,0.0,Choque,12.0,Normal
11976,2019-03-11 05:00:00,1,Planta Central,0,0.0,0,0.0,Choque,4.0,Seca
11977,2019-04-12 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,21.0,Normal
11978,2019-09-25 05:00:00,3,Planta Central,1,1.0,0,0.0,Volcamiento,17.0,Normal
11979,2019-10-22 05:00:00,2,Planta Central,1,12.0,0,0.0,Choque,1.0,Lluvia
11980,2018-12-28 05:00:00,5,Planta Central,0,0.0,1,1.0,Choque,5.0,Normal
11981,2019-11-24 05:00:00,7,Planta Central,0,0.0,1,1.0,Choque,21.0,Normal
11982,2019-12-05 05:00:00,4,Norte de Santander,1,5.0,0,0.0,Choque,11.0,Sol
11983,2019-12-10 05:00:00,2,Norte de Santander,0,0.0,0,0.0,Choque,7.0,Sol
11984,2019-10-17 05:00:00,4,Sucre,0,0.0,0,0.0,Choque,3.0,Normal
11985,2019-12-15 05:00:00,7,Norte de Santander,0,0.0,0,0.0,Volcamiento,7.0,Sol
11986,2019-12-20 05:00:00,5,Norte de Santander,0,0.0,0,0.0,Volcamiento,15.0,Sol
11987,2019-11-21 05:00:00,4,Boyacá,1,3.0,1,1.0,Volcamiento,9.0,Normal
11988,2019-11-08 05:00:00,5,Boyacá,0,0.0,0,0.0,Choque,7.0,Normal
11989,2019-11-09 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,18.0,Normal
11990,2019-11-09 05:00:00,6,Boyacá,1,4.0,0,0.0,Choque,17.0,Normal
11991,2019-11-09 05:00:00,6,Boyacá,0,0.0,1,1.0,Choque,18.0,Normal
