,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Hora,Tipo de vehiculo,Barrio,Comuna
27250,2018-12-24,1,Bucaramanga,0,,0,,8,"('CAMIONETA',)",Bucaramanga,08. SUROCCIDENTE
27251,2018-12-25,2,Bucaramanga,0,,0,,11,"('AUTOMOVIL',)",La Concordia,06. LA CONCORDIA
27252,2018-12-24,1,Bucaramanga,0,,0,,10,"('AUTOMOVIL',)",La Aurora,13. ORIENTAL
27253,2018-12-24,1,Bucaramanga,1,,0,,13,,La Aurora,13. ORIENTAL
27254,2018-12-24,1,Bucaramanga,1,,0,,14,,García Rovira,15. CENTRO
27255,2018-12-24,1,Bucaramanga,1,,0,,17,,Terrazas,12. CABECERA DEL LLANO
27256,2018-12-24,1,Bucaramanga,0,,0,,20,"('AUTOMOVIL',)",Provenza,10. PROVENZA
27257,2018-12-24,1,Bucaramanga,1,,0,,23,,Mutis,17. MUTIS
27258,2018-12-25,2,Bucaramanga,1,,0,,0,"('PEATON',)",Gaitán,04. OCCIDENTAL
27259,2018-12-25,2,Bucaramanga,1,,0,,2,"('PEATON',)",San Gerardo,08. SUROCCIDENTE
27260,2018-12-25,2,Bucaramanga,1,,0,,1,"('AUTOMOVIL',)",Kennedy,01. NORTE
27261,2018-12-25,2,Bucaramanga,0,,0,,3,"('AUTOMOVIL',)",La Concordia,06. LA CONCORDIA
27262,2018-12-25,2,Bucaramanga,1,,0,,5,,Morrorico,14. MORRORICO
27263,2018-12-25,2,Bucaramanga,1,,0,,10,,"Villas de San Ignacio (Sectores Bavaria I, II, Betania I, II, Ingeser)",01. NORTE
27264,2018-12-23,7,Bucaramanga,0,,0,,21,"('AUTOMOVIL',)",La Juventud,02. NORORIENTAL
27265,2018-12-25,2,Bucaramanga,1,,0,,14,"('AUTOMOVIL',)",Kennedy,01. NORTE
27266,2018-12-25,2,Bucaramanga,1,,0,,13,,Puerta del Sol,12. CABECERA DEL LLANO
27267,2018-12-25,2,Bucaramanga,0,,0,,17,"('AUTOMOVIL', 'BUSETA')",LOS COLORADOS,01. NORTE
27268,2018-12-25,2,Bucaramanga,1,,0,,16,"('PEATON',)",Olas II,02. NORORIENTAL
27269,2018-12-25,2,Bucaramanga,0,,0,,18,"('AUTOMOVIL',)",Provenza,10. PROVENZA
27270,2018-12-25,2,Bucaramanga,1,,0,,21,"('AUTOMOVIL',)",DIVINO NIÑO,01. NORTE
27271,2018-12-22,6,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'CAMIONETA')",San Francisco,03. SAN FRANCISCO
27272,2018-12-26,3,Bucaramanga,1,,0,,7,"('PEATON',)",Cabecera del Llano,12. CABECERA DEL LLANO
27273,2018-12-26,3,Bucaramanga,1,,0,,8,"('AUTOMOVIL',)",San Francisco,03. SAN FRANCISCO
27274,2018-12-26,3,Bucaramanga,0,,0,,8,"('AUTOMOVIL', 'CAMIONETA')",Cabecera del Llano,12. CABECERA DEL LLANO
27275,2018-12-26,3,Bucaramanga,1,,0,,10,"('PEATON', 'AUTOMOVIL')",Bucaramanga,08. SUROCCIDENTE
27276,2018-12-26,3,Bucaramanga,0,,0,,11,"('AUTOMOVIL', 'CAMIONETA')",La Concordia,06. LA CONCORDIA
27277,2018-12-26,3,Bucaramanga,0,,0,,11,"('AUTOMOVIL',)",Conucos,12. CABECERA DEL LLANO
27278,2018-12-26,3,Bucaramanga,0,,0,,10,"('CAMIONETA',)",Sotomayor,12. CABECERA DEL LLANO
27279,2018-12-26,3,Bucaramanga,0,,0,,12,"('MICRO', 'CAMION')",PREDIO URBANO PUENTE EL BUENO,08. SUROCCIDENTE
27280,2018-12-26,3,Bucaramanga,1,,0,,14,,Sotomayor,12. CABECERA DEL LLANO
27281,2018-12-26,3,Bucaramanga,1,,0,,13,,Comuneros,03. SAN FRANCISCO
27282,2018-12-25,2,Bucaramanga,1,,0,,15,,Alfonso López,05. GARCIA ROVIRA
27283,2018-12-26,3,Bucaramanga,1,,0,,16,"('PEATON', 'AUTOMOVIL')",La Concordia,06. LA CONCORDIA
27284,2018-12-26,3,Bucaramanga,0,,0,,17,"('AUTOMOVIL', 'BUSETA')",Cabecera del Llano,12. CABECERA DEL LLANO
27285,2018-12-26,3,Bucaramanga,1,,0,,17,"('PEATON', 'CAMIONETA')",LOS COLORADOS,01. NORTE
27286,2018-12-27,4,Bucaramanga,0,,0,,8,"('AUTOMOVIL', 'CAMION')",Ricaurte,06. LA CONCORDIA
27287,2018-12-27,4,Bucaramanga,0,,0,,9,"('AUTOMOVIL', 'OTRO')",La Aurora,13. ORIENTAL
27288,2018-12-27,4,Bucaramanga,0,,0,,11,"('AUTOMOVIL', 'CAMIONETA')",Centro,15. CENTRO
27289,2018-12-27,4,Bucaramanga,0,,0,,12,"('AUTOMOVIL',)",Centro,15. CENTRO
27290,2018-12-27,4,Bucaramanga,0,,0,,15,"('CAMIONETA',)",La Ceiba,06. LA CONCORDIA
27291,2018-12-27,4,Bucaramanga,0,,0,,17,"('AUTOMOVIL',)",García Rovira,15. CENTRO
27292,2018-12-27,4,Bucaramanga,1,,0,,16,"('AUTOMOVIL', 'CAMIONETA')",Universidad,03. SAN FRANCISCO
27293,2018-12-27,4,Bucaramanga,0,,0,,19,"('AUTOMOVIL', 'BUSETA')",Ricaurte,06. LA CONCORDIA
27294,2018-12-27,4,Bucaramanga,1,,0,,23,"('AUTOMOVIL',)",Sotomayor,12. CABECERA DEL LLANO
27295,2018-12-28,5,Bucaramanga,0,,0,,8,"('AUTOMOVIL',)",Antonia Santos Centro,13. ORIENTAL
