,Departamento,Year,Accidentes,Habitantes,AccidentesNormalizado
66,Guajira,2018,13,965718.0,13.461486686589668
67,Guajira,2019,59,965718.0,61.09443957759926
68,Guajira,2020,30,965718.0,31.064969276745387
69,Guajira,2021,12,965718.0,12.425987710698156
70,Huila,2017,91,1122622.0,81.06023220638826
71,Huila,2018,40,1122622.0,35.63087129951132
72,Huila,2019,40,1122622.0,35.63087129951132
73,Huila,2020,58,1122622.0,51.66476338429142
74,Huila,2021,10,1122622.0,8.90771782487783
75,Magdalena,2016,3,1427026.0,2.1022742402731276
76,Magdalena,2017,33,1427026.0,23.1250166430044
77,Magdalena,2018,11,1427026.0,7.708338881001469
78,Meta,2016,2,1063454.0,1.880664325866469
79,Meta,2017,51,1063454.0,47.956940309594955
80,Meta,2018,19,1063454.0,17.866311095731454
81,Meta,2019,20,1063454.0,18.80664325866469
82,Meta,2020,55,1063454.0,51.7182689613279
83,Meta,2021,22,1063454.0,20.68730758453116
84,Nariño,2017,222,1627589.0,136.3980710117849
85,Nariño,2018,187,1627589.0,114.89387062704405
86,Nariño,2019,157,1627589.0,96.46169886869474
87,Nariño,2020,179,1627589.0,109.97862482481757
88,Nariño,2021,125,1627589.0,76.8007156597888
89,Norte de Santander,2015,1,1620318.0,0.6171628038446774
90,Norte de Santander,2017,122,1620318.0,75.29386206905063
91,Norte de Santander,2018,93,1620318.0,57.396140757554996
92,Norte de Santander,2019,104,1620318.0,64.18493159984645
93,Norte de Santander,2020,67,1620318.0,41.34990785759339
94,Norte de Santander,2021,33,1620318.0,20.366372526874354
95,Ocaña,2017,44,,
96,Ocaña,2018,44,,
97,Ocaña,2019,23,,
98,Ocaña,2020,26,,
99,Ocaña,2021,27,,
100,Planta Central,2018,73,,
101,Planta Central,2019,795,,
102,Planta Central,2020,1550,,
103,Planta Central,2021,428,,
104,Putumayo,2016,3,359127.0,8.353590791001512
105,Putumayo,2017,127,359127.0,353.6353434857307
106,Putumayo,2018,57,359127.0,158.71822502902873
107,Putumayo,2019,78,359127.0,217.1933605660393
108,Putumayo,2020,81,359127.0,225.54695135704083
109,Putumayo,2021,21,359127.0,58.47513553701058
110,Quindío,2017,282,555401.0,507.7412536167562
111,Quindío,2018,191,555401.0,343.89567177588805
112,Quindío,2019,50,555401.0,90.02504496750996
113,Quindío,2020,102,555401.0,183.6510917337203
114,Quindío,2021,26,555401.0,46.81302338310518
115,Risaralda,2017,585,961055.0,608.7060574056635
116,Risaralda,2018,339,961055.0,352.73735634276915
117,Risaralda,2019,213,961055.0,221.6314362861647
118,Risaralda,2020,267,961055.0,277.8196877389951
119,Risaralda,2021,52,961055.0,54.10720510272565
120,San Andres y Providencia,2016,2,63692.0,31.40111787979652
121,San Andres y Providencia,2017,50,63692.0,785.027946994913
122,San Andres y Providencia,2018,22,63692.0,345.41229667776173
123,San Andres y Providencia,2020,7,63692.0,109.90391257928782
124,Santander,2016,10,2280908.0,4.384218916326305
125,Santander,2017,174,2280908.0,76.28540914407772
126,Santander,2018,328,2280908.0,143.8023804555028
127,Santander,2019,124,2280908.0,54.36431456244618
128,Santander,2020,45,2280908.0,19.728985123468373
129,Santander,2021,4,2280908.0,1.753687566530522
130,Sucre,2016,3,949252.0,3.1603831227113557
131,Sucre,2017,33,949252.0,34.76421434982491
132,Sucre,2018,33,949252.0,34.76421434982491
133,Sucre,2019,19,949252.0,20.01575977717192
134,Sucre,2020,28,949252.0,29.496909145305988
135,Tolima,2016,13,1339998.0,9.701507017174652
136,Tolima,2017,166,1339998.0,123.88078191161479
137,Tolima,2018,110,1339998.0,82.0896747607086
138,Tolima,2019,62,1339998.0,46.26872577421757
139,Tolima,2020,97,1339998.0,72.38816774353394
140,Tolima,2021,51,1339998.0,38.05975829814672
141,Valle del Cauca,2016,159,4532152.0,35.08267154323156
142,Valle del Cauca,2017,1143,4532152.0,252.1980727919099
143,Valle del Cauca,2018,243,4532152.0,53.61691311324069
144,Valle del Cauca,2019,77,4532152.0,16.98972143917503
145,Valle del Cauca,2020,280,4532152.0,61.78080523336374
146,Valle del Cauca,2021,85,4532152.0,18.754887302985424
